index,category,original_text,normalized_text,model,voice,audio_path,status
21,Time,Let's meet at 10:30 tomorrow.,Let's meet at ten thirty tomorrow.,Kokoro-82M,af_heart,af_heart\Time\21.wav,generated
22,Time,The train departs at 15:45.,The train departs at fifteen forty five,Kokoro-82M,af_heart,af_heart\Time\22.wav,generated
23,Time,Breakfast is served at 7 AM.,Breakfast is served at seven A M.,Kokoro-82M,af_heart,af_heart\Time\23.wav,generated
24,Time,The show starts at 8:15 PM.,The show starts at eight fifteen P M.,Kokoro-82M,af_heart,af_heart\Time\24.wav,generated
25,Time,The deadline is 23:59.,The deadline is twenty three fifty nine.,Kokoro-82M,af_heart,af_heart\Time\25.wav,generated
26,Time,The store opens at 9:00.,The store opens at nine o'clock.,Kokoro-82M,af_heart,af_heart\Time\26.wav,generated
27,Time,The meeting is at 12:00 noon.,The meeting is at twelve noon.,Kokoro-82M,af_heart,af_heart\Time\27.wav,generated
28,Time,The flight leaves at 06:20.,The flight leaves at six twenty.,Kokoro-82M,af_heart,af_heart\Time\28.wav,generated
29,Time,The class ends at 4:45 PM.,The class ends at four forty five P M.,Kokoro-82M,af_heart,af_heart\Time\29.wav,generated
30,Time,The alarm goes off at 5:30 AM.,The alarm goes off at five thirty A M.,Kokoro-82M,af_heart,af_heart\Time\30.wav,generated
31,Time,The concert begins at 19:00.,The concert begins at nineteen hundred hours.,Kokoro-82M,af_heart,af_heart\Time\31.wav,generated
32,Time,The webinar is at 13:15.,The webinar is at thirteen fifteen.,Kokoro-82M,af_heart,af_heart\Time\32.wav,generated
33,Time,The bakery closes at 3 PM.,The bakery closes at three P M.,Kokoro-82M,af_heart,af_heart\Time\33.wav,generated
34,Time,The deadline is midnight.,The deadline is midnight.,Kokoro-82M,af_heart,af_heart\Time\34.wav,generated
35,Time,The movie starts at 6:00 PM.,The movie starts at six P M.,Kokoro-82M,af_heart,af_heart\Time\35.wav,generated
36,Time,The bus arrives at 14:50.,The bus arrives at fourteen fifty.,Kokoro-82M,af_heart,af_heart\Time\36.wav,generated
37,Time,The office opens at 8:30 AM.,The office opens at eight thirty A M.,Kokoro-82M,af_heart,af_heart\Time\37.wav,generated
38,Time,The appointment is at 11:45.,The appointment is at eleven forty five.,Kokoro-82M,af_heart,af_heart\Time\38.wav,generated
39,Time,The game kicks off at 20:00.,The game kicks off at twenty hundred hours.,Kokoro-82M,af_heart,af_heart\Time\39.wav,generated
40,Time,The workshop ends at 5:15 PM.,The workshop ends at five fifteen P M.,Kokoro-82M,af_heart,af_heart\Time\40.wav,generated
41,Cardinal,There are 25 students in the class.,There are twenty five students in the class.,Kokoro-82M,af_heart,af_heart\Cardinal\41.wav,generated
42,Cardinal,She bought 3 apples.,She bought three apples.,Kokoro-82M,af_heart,af_heart\Cardinal\42.wav,generated
43,Cardinal,The building has 100 floors.,The building has one hundred floors.,Kokoro-82M,af_heart,af_heart\Cardinal\43.wav,generated
44,Cardinal,He scored 99 on the test.,He scored ninety nine on the test.,Kokoro-82M,af_heart,af_heart\Cardinal\44.wav,generated
45,Cardinal,The team won 5 championships.,The team won five championships.,Kokoro-82M,af_heart,af_heart\Cardinal\45.wav,generated
46,Cardinal,There were 12 guests at the party.,There were twelve guests at the party.,Kokoro-82M,af_heart,af_heart\Cardinal\46.wav,generated
47,Cardinal,The recipe calls for 2 eggs.,The recipe calls for two eggs.,Kokoro-82M,af_heart,af_heart\Cardinal\47.wav,generated
48,Cardinal,The car can seat 7 people.,The car can seat seven people.,Kokoro-82M,af_heart,af_heart\Cardinal\48.wav,generated
49,Cardinal,The book has 450 pages.,The book has four hundred fifty pages.,Kokoro-82M,af_heart,af_heart\Cardinal\49.wav,generated
50,Cardinal,"The company employs 1,200 workers.",The company employs one thousand two hundred workers.,Kokoro-82M,af_heart,af_heart\Cardinal\50.wav,generated
51,Cardinal,"The marathon had 10,000 runners.",The marathon had ten thousand runners.,Kokoro-82M,af_heart,af_heart\Cardinal\51.wav,generated
52,Cardinal,She waited for 15 minutes.,She waited for fifteen minutes.,Kokoro-82M,af_heart,af_heart\Cardinal\52.wav,generated
53,Cardinal,The laptop weighs 4 pounds.,The laptop weighs four pounds.,Kokoro-82M,af_heart,af_heart\Cardinal\53.wav,generated
54,Cardinal,The city has 8 million residents.,The city has eight million residents.,Kokoro-82M,af_heart,af_heart\Cardinal\54.wav,generated
55,Cardinal,The team scored 21 points.,The team scored twenty one points.,Kokoro-82M,af_heart,af_heart\Cardinal\55.wav,generated
56,Cardinal,The store sells 50 kinds of cheese.,The store sells fifty kinds of cheese.,Kokoro-82M,af_heart,af_heart\Cardinal\56.wav,generated
57,Cardinal,The bus arrives in 30 minutes.,The bus arrives in thirty minutes.,Kokoro-82M,af_heart,af_heart\Cardinal\57.wav,generated
58,Cardinal,The hotel has 150 rooms.,The hotel has one hundred fifty rooms.,Kokoro-82M,af_heart,af_heart\Cardinal\58.wav,generated
59,Cardinal,The painting sold for $1.5 million.,The painting sold for one point five million dollars.,Kokoro-82M,af_heart,af_heart\Cardinal\59.wav,generated
60,Cardinal,The hike is 7 miles long.,The hike is seven miles long.,Kokoro-82M,af_heart,af_heart\Cardinal\60.wav,generated
61,Ordinal,She finished in 1st place.,She finished in first place.,Kokoro-82M,af_heart,af_heart\Ordinal\61.wav,generated
62,Ordinal,This is the 3rd time I've called.,This is the third time I've called.,Kokoro-82M,af_heart,af_heart\Ordinal\62.wav,generated
63,Ordinal,He lives on the 22nd floor.,He lives on the twenty second floor.,Kokoro-82M,af_heart,af_heart\Ordinal\63.wav,generated
64,Ordinal,The 5th chapter is the most interesting.,The fifth chapter is the most interesting.,Kokoro-82M,af_heart,af_heart\Ordinal\64.wav,generated
65,Ordinal,Her birthday is on the 10th.,Her birthday is on the tenth.,Kokoro-82M,af_heart,af_heart\Ordinal\65.wav,generated
66,Ordinal,The 100th anniversary is next year.,The one hundredth anniversary is next year.,Kokoro-82M,af_heart,af_heart\Ordinal\66.wav,generated
67,Ordinal,They celebrated their 25th wedding anniversary.,They celebrated their twenty fifth wedding anniversary.,Kokoro-82M,af_heart,af_heart\Ordinal\67.wav,generated
68,Ordinal,The store is on 42nd Street.,The store is on forty second Street.,Kokoro-82M,af_heart,af_heart\Ordinal\68.wav,generated
69,Ordinal,This is my 2nd attempt.,This is my second attempt.,Kokoro-82M,af_heart,af_heart\Ordinal\69.wav,generated
70,Ordinal,The 15th of March is a holiday.,The fifteenth of March is a holiday.,Kokoro-82M,af_heart,af_heart\Ordinal\70.wav,generated
71,Ordinal,He ranked 50th in the competition.,He ranked fiftieth in the competition.,Kokoro-82M,af_heart,af_heart\Ordinal\71.wav,generated
72,Ordinal,"The 1st prize is $10,000.",The first prize is ten thousand dollars.,Kokoro-82M,af_heart,af_heart\Ordinal\72.wav,generated
73,Ordinal,The 9th inning was intense.,The ninth inning was intense.,Kokoro-82M,af_heart,af_heart\Ordinal\73.wav,generated
74,Ordinal,She is the 4th person to ask.,She is the fourth person to ask.,Kokoro-82M,af_heart,af_heart\Ordinal\74.wav,generated
75,Ordinal,The 30th birthday is a milestone.,The thirtieth birthday is a milestone.,Kokoro-82M,af_heart,af_heart\Ordinal\75.wav,generated
76,Ordinal,The 7th guest arrived late.,The seventh guest arrived late.,Kokoro-82M,af_heart,af_heart\Ordinal\76.wav,generated
77,Ordinal,The 12th month is December.,The twelfth month is December.,Kokoro-82M,af_heart,af_heart\Ordinal\77.wav,generated
78,Ordinal,The 21st century began in 2001.,The twenty first century began in two thousand one.,Kokoro-82M,af_heart,af_heart\Ordinal\78.wav,generated
79,Ordinal,The 6th sense is intuition.,The sixth sense is intuition.,Kokoro-82M,af_heart,af_heart\Ordinal\79.wav,generated
80,Ordinal,The 18th hole is the hardest.,The eighteenth hole is the hardest.,Kokoro-82M,af_heart,af_heart\Ordinal\80.wav,generated
81,Decimal,The temperature is 98.6°F.,The temperature is ninety eight point six degrees Fahrenheit.,Kokoro-82M,af_heart,af_heart\Decimal\81.wav,generated
82,Decimal,The measurement is 3.14 cm.,The measurement is three point one four centimeters.,Kokoro-82M,af_heart,af_heart\Decimal\82.wav,generated
83,Decimal,The price increased by 2.5%.,The price increased by two point five percent.,Kokoro-82M,af_heart,af_heart\Decimal\83.wav,generated
84,Decimal,The weight is 0.75 kg.,The weight is zero point seven five kilograms.,Kokoro-82M,af_heart,af_heart\Decimal\84.wav,generated
85,Decimal,The distance is 5.2 miles.,The distance is five point two miles.,Kokoro-82M,af_heart,af_heart\Decimal\85.wav,generated
86,Decimal,The score was 7.8 out of 10.,The score was seven point eight out of ten.,Kokoro-82M,af_heart,af_heart\Decimal\86.wav,generated
87,Decimal,The ratio is 1.5:1.,The ratio is one point five to one.,Kokoro-82M,af_heart,af_heart\Decimal\87.wav,generated
88,Decimal,The bottle holds 1.75 liters.,The bottle holds one point seven five liters.,Kokoro-82M,af_heart,af_heart\Decimal\88.wav,generated
89,Decimal,The interest rate is 3.25%.,The interest rate is three point two five percent.,Kokoro-82M,af_heart,af_heart\Decimal\89.wav,generated
90,Decimal,The growth rate is 0.8%.,The growth rate is zero point eight percent.,Kokoro-82M,af_heart,af_heart\Decimal\90.wav,generated
91,Decimal,The average is 4.6.,The average is four point six.,Kokoro-82M,af_heart,af_heart\Decimal\91.wav,generated
92,Decimal,The speed was 55.5 mph.,The speed was fifty five point five miles per hour.,Kokoro-82M,af_heart,af_heart\Decimal\92.wav,generated
93,Decimal,The dosage is 0.5 mg.,The dosage is zero point five milligrams.,Kokoro-82M,af_heart,af_heart\Decimal\93.wav,generated
94,Decimal,The voltage is 12.3 V.,The voltage is twelve point three volts.,Kokoro-82M,af_heart,af_heart\Decimal\94.wav,generated
95,Decimal,The length is 6.25 inches.,The length is six point two five inches.,Kokoro-82M,af_heart,af_heart\Decimal\95.wav,generated
96,Decimal,The density is 1.05 g/cm³.,The density is one point zero five grams per cubic centimeter.,Kokoro-82M,af_heart,af_heart\Decimal\96.wav,generated
97,Decimal,The angle is 22.5 degrees.,The angle is twenty two point five degrees.,Kokoro-82M,af_heart,af_heart\Decimal\97.wav,generated
98,Decimal,The discount is 15.99%.,The discount is fifteen point nine nine percent.,Kokoro-82M,af_heart,af_heart\Decimal\98.wav,generated
99,Decimal,The battery is at 87.5%.,The battery is at eighty seven point five percent.,Kokoro-82M,af_heart,af_heart\Decimal\99.wav,generated
100,Decimal,The concentration is 0.01 M.,The concentration is zero point zero one molar.,Kokoro-82M,af_heart,af_heart\Decimal\100.wav,generated
101,Fractions,Add 1/2 cup of sugar.,Add one half cup of sugar.,Kokoro-82M,af_heart,af_heart\Fractions\101.wav,generated
102,Fractions,She ate 3/4 of the pizza.,She ate three fourths of the pizza.,Kokoro-82M,af_heart,af_heart\Fractions\102.wav,generated
103,Fractions,The glass is 2/3 full.,The glass is two thirds full.,Kokoro-82M,af_heart,af_heart\Fractions\103.wav,generated
104,Fractions,He owns 1/8 of the company.,He owns one eighth of the company.,Kokoro-82M,af_heart,af_heart\Fractions\104.wav,generated
105,Fractions,Cut the paper into 1/16 pieces.,Cut the paper into one sixteenth pieces.,Kokoro-82M,af_heart,af_heart\Fractions\105.wav,generated
106,Fractions,The recipe requires 1 1/2 teaspoons.,The recipe requires one and a half teaspoons.,Kokoro-82M,af_heart,af_heart\Fractions\106.wav,generated
107,Fractions,She drank 5/6 of the juice.,She drank five sixths of the juice.,Kokoro-82M,af_heart,af_heart\Fractions\107.wav,generated
108,Fractions,The tank is 7/8 empty.,The tank is seven eighths empty.,Kokoro-82M,af_heart,af_heart\Fractions\108.wav,generated
109,Fractions,The discount is 1/4 off.,The discount is one fourth off.,Kokoro-82M,af_heart,af_heart\Fractions\109.wav,generated
110,Fractions,The room is 3 3/4 meters wide.,The room is three and three fourths meters wide.,Kokoro-82M,af_heart,af_heart\Fractions\110.wav,generated
111,Fractions,He finished 9/10 of the work.,He finished nine tenths of the work.,Kokoro-82M,af_heart,af_heart\Fractions\111.wav,generated
112,Fractions,The pie was divided into 1/12 slices.,The pie was divided into one twelfth slices.,Kokoro-82M,af_heart,af_heart\Fractions\112.wav,generated
113,Fractions,The margin is 5 1/2 inches.,The margin is five and a half inches.,Kokoro-82M,af_heart,af_heart\Fractions\113.wav,generated
114,Fractions,The mixture is 2/5 water.,The mixture is two fifths water.,Kokoro-82M,af_heart,af_heart\Fractions\114.wav,generated
115,Fractions,The probability is 3/7.,The probability is three sevenths.,Kokoro-82M,af_heart,af_heart\Fractions\115.wav,generated
116,Fractions,The length is 4 3/8 feet.,The length is four and three eighths feet.,Kokoro-82M,af_heart,af_heart\Fractions\116.wav,generated
117,Fractions,The team won 11/12 games.,The team won eleven twelfths games.,Kokoro-82M,af_heart,af_heart\Fractions\117.wav,generated
118,Fractions,The solution is 1/20 diluted.,The solution is one twentieth diluted.,Kokoro-82M,af_heart,af_heart\Fractions\118.wav,generated
119,Fractions,The ratio is 7/9.,The ratio is seven ninths.,Kokoro-82M,af_heart,af_heart\Fractions\119.wav,generated
120,Fractions,The distance is 1 1/4 miles.,The distance is one and a quarter miles.,Kokoro-82M,af_heart,af_heart\Fractions\120.wav,generated
121,Roman Numeral,Chapter VII is my favorite.,Chapter seven is my favorite.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\121.wav,generated
122,Roman Numeral,Super Bowl LVI was exciting.,Super Bowl fifty six was exciting.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\122.wav,generated
123,Roman Numeral,King Henry VIII had six wives.,King Henry the eighth had six wives.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\123.wav,generated
124,Roman Numeral,The film won an Oscar for Best Picture in MMXX.,The film won an Oscar for Best Picture in twenty twenty.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\124.wav,generated
125,Roman Numeral,The clock showed XII.,The clock showed twelve.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\125.wav,generated
126,Roman Numeral,The event is scheduled for MMXXIV.,The event is scheduled for twenty twenty four.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\126.wav,generated
127,Roman Numeral,The book is Volume III.,The book is Volume three.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\127.wav,generated
128,Roman Numeral,The document is dated MDCCLXXVI.,The document is dated seventeen seventy six.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\128.wav,generated
129,Roman Numeral,The statue was built in MCMLXXXIX.,The statue was built in nineteen eighty nine.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\129.wav,generated
130,Roman Numeral,The conference is in Part IX.,The conference is in Part nine.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\130.wav,generated
131,Roman Numeral,The building is on Block XLII.,The building is on Block forty two.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\131.wav,generated
132,Roman Numeral,The manuscript is from the XV century.,The manuscript is from the fifteenth century.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\132.wav,generated
133,Roman Numeral,The treaty was signed in MCMXLV.,The treaty was signed in nineteen forty five.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\133.wav,generated
134,Roman Numeral,The painting is from the XVIII dynasty.,The painting is from the eighteenth dynasty.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\134.wav,generated
135,Roman Numeral,The exhibit features artifacts from MM.,The exhibit features artifacts from two thousand.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\135.wav,generated
136,Roman Numeral,"The play is Act IV, Scene II.","The play is Act four, Scene two.",Kokoro-82M,af_heart,af_heart\Roman_Numeral\136.wav,generated
137,Roman Numeral,The coin is from the year MCMXC.,The coin is from the year nineteen ninety.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\137.wav,generated
138,Roman Numeral,The building was constructed in MDCCCXLV.,The building was constructed in eighteen forty five.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\138.wav,generated
139,Roman Numeral,The document is numbered CXII.,The document is numbered one hundred twelve.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\139.wav,generated
140,Roman Numeral,The event is in Section XXI.,The event is in Section twenty one.,Kokoro-82M,af_heart,af_heart\Roman_Numeral\140.wav,generated
141,Phone Number,Call me at 555-123-4567.,Call me at five five five one two three four five six seven.,Kokoro-82M,af_heart,af_heart\Phone_Number\141.wav,generated
142,Phone Number,Her number is (212) 555-0199.,Her number is two one two five five five zero one nine nine.,Kokoro-82M,af_heart,af_heart\Phone_Number\142.wav,generated
143,Phone Number,The office number is 800-555-0000.,The office number is eight zero zero five five five zero zero zero zero.,Kokoro-82M,af_heart,af_heart\Phone_Number\143.wav,generated
144,Phone Number,Dial 911 in an emergency.,Dial nine one one in an emergency.,Kokoro-82M,af_heart,af_heart\Phone_Number\144.wav,generated
145,Phone Number,My contact is +1-202-555-0175.,My contact is plus one two zero two five five five zero one seven five.,Kokoro-82M,af_heart,af_heart\Phone_Number\145.wav,generated
146,Phone Number,The helpline is 1-888-555-1234.,The helpline is one eight eight eight five five five one two three four.,Kokoro-82M,af_heart,af_heart\Phone_Number\146.wav,generated
147,Phone Number,Text me at 555-7890.,Text me at five five five seven eight nine zero.,Kokoro-82M,af_heart,af_heart\Phone_Number\147.wav,generated
148,Phone Number,The fax number is 555-234-5678.,The fax number is five five five two three four five six seven eight.,Kokoro-82M,af_heart,af_heart\Phone_Number\148.wav,generated
149,Phone Number,Customer service is at 1-800-555-6789.,Customer service is at one eight zero zero five five five six seven eight nine.,Kokoro-82M,af_heart,af_heart\Phone_Number\149.wav,generated
150,Phone Number,The hotel's number is (305) 555-0101.,The hotel's number is three zero five five five five zero one zero one.,Kokoro-82M,af_heart,af_heart\Phone_Number\150.wav,generated
151,Phone Number,Reach me at 555.123.4567.,Reach me at five five five one two three four five six seven.,Kokoro-82M,af_heart,af_heart\Phone_Number\151.wav,generated
152,Phone Number,The support line is 555-9876.,The support line is five five five nine eight seven six.,Kokoro-82M,af_heart,af_heart\Phone_Number\152.wav,generated
153,Phone Number,Call 555-000-9999 for assistance.,Call five five five zero zero zero nine nine nine nine for assistance.,Kokoro-82M,af_heart,af_heart\Phone_Number\153.wav,generated
154,Phone Number,The business number is 555-321-6547.,The business number is five five five three two one six five four seven.,Kokoro-82M,af_heart,af_heart\Phone_Number\154.wav,generated
155,Phone Number,My mobile is 555-876-5432.,My mobile is five five five eight seven six five four three two.,Kokoro-82M,af_heart,af_heart\Phone_Number\155.wav,generated
156,Phone Number,The reservation line is 1-555-123-4567.,The reservation line is one five five five one two three four five six seven.,Kokoro-82M,af_heart,af_heart\Phone_Number\156.wav,generated
157,Phone Number,Contact us at 555-111-2222.,Contact us at five five five one one one two two two two.,Kokoro-82M,af_heart,af_heart\Phone_Number\157.wav,generated
158,Phone Number,The clinic's number is 555-444-3333.,The clinic's number is five five five four four four three three three three.,Kokoro-82M,af_heart,af_heart\Phone_Number\158.wav,generated
159,Phone Number,The hotline is 555-555-5555.,The hotline is five five five five five five five five five five.,Kokoro-82M,af_heart,af_heart\Phone_Number\159.wav,generated
160,Phone Number,The reception desk is at 555-678-9012.,The reception desk is at five five five six seven eight nine zero one two.,Kokoro-82M,af_heart,af_heart\Phone_Number\160.wav,generated
161,Currency,The price is $10.99.,The price is ten dollars and ninety nine cents.,Kokoro-82M,af_heart,af_heart\Currency\161.wav,generated
162,Currency,She paid €25 for the book.,She paid twenty five euros for the book.,Kokoro-82M,af_heart,af_heart\Currency\162.wav,generated
163,Currency,The fee is ¥5000.,The fee is five thousand yen.,Kokoro-82M,af_heart,af_heart\Currency\163.wav,generated
164,Currency,The cost is £15.50.,The cost is fifteen pounds and fifty pence.,Kokoro-82M,af_heart,af_heart\Currency\164.wav,generated
165,Currency,The donation was $100.,The donation was one hundred dollars.,Kokoro-82M,af_heart,af_heart\Currency\165.wav,generated
166,Currency,The rent is €1200 per month.,The rent is one thousand two hundred euros per month.,Kokoro-82M,af_heart,af_heart\Currency\166.wav,generated
167,Currency,The ticket costs ₹750.,The ticket costs seven hundred fifty rupees.,Kokoro-82M,af_heart,af_heart\Currency\167.wav,generated
168,Currency,The bill came to $45.67.,The bill came to forty five dollars and sixty seven cents.,Kokoro-82M,af_heart,af_heart\Currency\168.wav,generated
169,Currency,The exchange rate is 1.2 USD to EUR.,The exchange rate is one point two U S dollars to euros.,Kokoro-82M,af_heart,af_heart\Currency\169.wav,generated
170,Currency,"The salary is ¥300,000 per year.",The salary is three hundred thousand yen per year.,Kokoro-82M,af_heart,af_heart\Currency\170.wav,generated
171,Currency,The budget is $1 million.,The budget is one million dollars.,Kokoro-82M,af_heart,af_heart\Currency\171.wav,generated
172,Currency,The fine is €50.,The fine is fifty euros.,Kokoro-82M,af_heart,af_heart\Currency\172.wav,generated
173,Currency,"The savings account has £10,000.",The savings account has ten thousand pounds.,Kokoro-82M,af_heart,af_heart\Currency\173.wav,generated
174,Currency,The painting sold for $2.5 million.,The painting sold for two point five million dollars.,Kokoro-82M,af_heart,af_heart\Currency\174.wav,generated
175,Currency,"The loan is for ¥1,000,000.",The loan is for one million yen.,Kokoro-82M,af_heart,af_heart\Currency\175.wav,generated
176,Currency,The refund is $19.95.,The refund is nineteen dollars and ninety five cents.,Kokoro-82M,af_heart,af_heart\Currency\176.wav,generated
177,Currency,The fare is ₩2500.,The fare is two thousand five hundred won.,Kokoro-82M,af_heart,af_heart\Currency\177.wav,generated
178,Currency,"The prize is €1,000.",The prize is one thousand euros.,Kokoro-82M,af_heart,af_heart\Currency\178.wav,generated
179,Currency,The debt is £500.,The debt is five hundred pounds.,Kokoro-82M,af_heart,af_heart\Currency\179.wav,generated
180,Currency,"The investment is $50,000.",The investment is fifty thousand dollars.,Kokoro-82M,af_heart,af_heart\Currency\180.wav,generated
181,Unit,The box weighs 5 kg.,The box weighs five kilograms.,Kokoro-82M,af_heart,af_heart\Unit\181.wav,generated
182,Unit,The distance is 10 miles.,The distance is ten miles.,Kokoro-82M,af_heart,af_heart\Unit\182.wav,generated
183,Unit,The bottle holds 2 liters.,The bottle holds two liters.,Kokoro-82M,af_heart,af_heart\Unit\183.wav,generated
184,Unit,The room is 15 feet wide.,The room is fifteen feet wide.,Kokoro-82M,af_heart,af_heart\Unit\184.wav,generated
185,Unit,The speed limit is 60 mph.,The speed limit is sixty miles per hour.,Kokoro-82M,af_heart,af_heart\Unit\185.wav,generated
186,Unit,The temperature is 20°C.,The temperature is twenty degrees Celsius.,Kokoro-82M,af_heart,af_heart\Unit\186.wav,generated
187,Unit,The area is 500 square meters.,The area is five hundred square meters.,Kokoro-82M,af_heart,af_heart\Unit\187.wav,generated
188,Unit,The package is 3 inches thick.,The package is three inches thick.,Kokoro-82M,af_heart,af_heart\Unit\188.wav,generated
189,Unit,The pool is 25 meters long.,The pool is twenty five meters long.,Kokoro-82M,af_heart,af_heart\Unit\189.wav,generated
190,Unit,The pressure is 100 kPa.,The pressure is one hundred kilopascals.,Kokoro-82M,af_heart,af_heart\Unit\190.wav,generated
191,Unit,The height is 6 feet 2 inches.,The height is six feet two inches.,Kokoro-82M,af_heart,af_heart\Unit\191.wav,generated
192,Unit,The dosage is 250 mg.,The dosage is two hundred fifty milligrams.,Kokoro-82M,af_heart,af_heart\Unit\192.wav,generated
193,Unit,The volume is 1.5 gallons.,The volume is one point five gallons.,Kokoro-82M,af_heart,af_heart\Unit\193.wav,generated
194,Unit,The cable is 10 cm long.,The cable is ten centimeters long.,Kokoro-82M,af_heart,af_heart\Unit\194.wav,generated
195,Unit,The energy output is 50 kW.,The energy output is fifty kilowatts.,Kokoro-82M,af_heart,af_heart\Unit\195.wav,generated
196,Unit,The rainfall was 2 inches.,The rainfall was two inches.,Kokoro-82M,af_heart,af_heart\Unit\196.wav,generated
197,Unit,The weight limit is 50 lbs.,The weight limit is fifty pounds.,Kokoro-82M,af_heart,af_heart\Unit\197.wav,generated
198,Unit,The screen is 24 inches diagonally.,The screen is twenty four inches diagonally.,Kokoro-82M,af_heart,af_heart\Unit\198.wav,generated
199,Unit,The capacity is 5 tons.,The capacity is five tons.,Kokoro-82M,af_heart,af_heart\Unit\199.wav,generated
200,Unit,The wavelength is 550 nm.,The wavelength is five hundred fifty nanometers.,Kokoro-82M,af_heart,af_heart\Unit\200.wav,generated
201,Sports score,The final score was 3-1.,The final score was three to one.,Kokoro-82M,af_heart,af_heart\Sports_score\201.wav,generated
202,Sports score,The game ended 24-21.,The game ended twenty four to twenty one.,Kokoro-82M,af_heart,af_heart\Sports_score\202.wav,generated
203,Sports score,The team won 7-0.,The team won seven to zero.,Kokoro-82M,af_heart,af_heart\Sports_score\203.wav,generated
204,Sports score,The match was tied 2-2.,The match was tied two to two.,Kokoro-82M,af_heart,af_heart\Sports_score\204.wav,generated
205,Sports score,The score is 14-10 in the third quarter.,The score is fourteen to ten in the third quarter.,Kokoro-82M,af_heart,af_heart\Sports_score\205.wav,generated
206,Sports score,The basketball game was 98-95.,The basketball game was ninety eight to ninety five.,Kokoro-82M,af_heart,af_heart\Sports_score\206.wav,generated
207,Sports score,The soccer match ended 1-0.,The soccer match ended one to zero.,Kokoro-82M,af_heart,af_heart\Sports_score\207.wav,generated
